"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Этот тест проверят получение пользователя по его id","292","methodGetTests()","","Mon Feb 24 10:00:05 GMT 2025","passed","Mon Feb 24 10:00:05 GMT 2025","","ApiUserTests","ApiUserTests","methodGetTests"
"Этот тест возвращает инвентарь питомцев по статусу","253","methodGetInventoryTests()","","Mon Feb 24 10:00:06 GMT 2025","passed","Mon Feb 24 10:00:06 GMT 2025","","ApiStoreTests","ApiStoreTests","methodGetInventoryTests"
"Этот тест проверят получение пользователя по его id","161","methodPutTests()","","Mon Feb 24 10:00:05 GMT 2025","passed","Mon Feb 24 10:00:05 GMT 2025","","ApiUserTests","ApiUserTests","methodPutTests"
"Этот тест проверят поиск заказа на покупку по идентификатору","309","methodGetTests()","","Mon Feb 24 10:00:06 GMT 2025","passed","Mon Feb 24 10:00:06 GMT 2025","","ApiStoreTests","ApiStoreTests","methodGetTests"
"Этот тест проверяет добавление нового питомца в магазин petstore","170","methodPostTests()","","Mon Feb 24 10:00:05 GMT 2025","passed","Mon Feb 24 10:00:05 GMT 2025","","ApiPetTests","ApiPetTests","methodPostTests"
"Этот тест проверяет получение питомца по его id petstore.","398","methodGetTests()","","Mon Feb 24 10:00:03 GMT 2025","passed","Mon Feb 24 10:00:04 GMT 2025","","ApiPetTests","ApiPetTests","methodGetTests"
"Этот тест проверят регистрацию пользователя в магазине petstore(но запрос не должен быть get, и параметры должны передаваться в теле запроса)","136","methodGetLoginTests()","","Mon Feb 24 10:00:05 GMT 2025","passed","Mon Feb 24 10:00:05 GMT 2025","","ApiUserTests","ApiUserTests","methodGetLoginTests"
"Этот тест проверят удаление заказа на покупку по идентификатору","261","methodDeleteTests()","","Mon Feb 24 10:00:06 GMT 2025","passed","Mon Feb 24 10:00:07 GMT 2025","","ApiStoreTests","ApiStoreTests","methodDeleteTests"
"Этот тест проверяет удаление питомца из магазина petstore.","310","methodDeleteTests()","","Mon Feb 24 10:00:04 GMT 2025","passed","Mon Feb 24 10:00:05 GMT 2025","","ApiPetTests","ApiPetTests","methodDeleteTests"
"Этот тест проверяет обновление id существующего питомца","1881","methodPutTests()","","Mon Feb 24 10:00:01 GMT 2025","passed","Mon Feb 24 10:00:03 GMT 2025","","ApiPetTests","ApiPetTests","methodPutTests"
"Этот тест проверят оформление заказа на покупку питомца","134","methodPostTests()","","Mon Feb 24 10:00:07 GMT 2025","passed","Mon Feb 24 10:00:07 GMT 2025","","ApiStoreTests","ApiStoreTests","methodPostTests"
"Этот тест проверяет получение питомца по его id petstore.","436","methodGetAvailableTests()","","Mon Feb 24 10:00:04 GMT 2025","passed","Mon Feb 24 10:00:04 GMT 2025","","ApiPetTests","ApiPetTests","methodGetAvailableTests"
"Этот тест проверят создание пользователя","123","methodPostTests()","","Mon Feb 24 10:00:06 GMT 2025","passed","Mon Feb 24 10:00:06 GMT 2025","","ApiUserTests","ApiUserTests","methodPostTests"
"Этот тест проверят выход из аккаунта пользователя в магазине petstore","131","methodGetLogoutTests()","","Mon Feb 24 10:00:05 GMT 2025","passed","Mon Feb 24 10:00:05 GMT 2025","","ApiUserTests","ApiUserTests","methodGetLogoutTests"
"Этот тест проверят удаление пользователя по его id","274","methodDeleteTests()","","Mon Feb 24 10:00:05 GMT 2025","passed","Mon Feb 24 10:00:06 GMT 2025","","ApiUserTests","ApiUserTests","methodDeleteTests"
